experiment_id,epoch_count,seed,run_name,replay_mode,task_order,task,split,accuracy,forgetting,model,data_dir,data_source,use_audited_review,audited_review_csv,train_size,val_size,test_size,batch_size,learning_rate
exp012,1,42,epoch1_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,arc_challenge,test,0.1400,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,1,42,epoch1_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,boolq,test,0.4800,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,sciq,val,0.3000,0.1667,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,arc_challenge,val,0.3000,0.0667,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,boolq,val,0.5333,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,sciq,test,0.3400,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,arc_challenge,test,0.2400,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,boolq,test,0.4800,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,sciq,val,0.2667,0.2333,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,arc_challenge,val,0.3333,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,boolq,val,0.5333,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,sciq,test,0.4400,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,arc_challenge,test,0.2600,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,boolq,test,0.4800,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,sciq,val,0.2333,0.2333,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,arc_challenge,val,0.3333,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,boolq,val,0.5333,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,sciq,test,0.3000,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,arc_challenge,test,0.2000,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,2,42,epoch2_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,boolq,test,0.4600,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,sciq,val,0.3667,0.1333,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,arc_challenge,val,0.3333,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,boolq,val,0.6000,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,sciq,test,0.3000,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,arc_challenge,test,0.2000,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,boolq,test,0.5600,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,sciq,val,0.3333,0.1667,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,arc_challenge,val,0.4667,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,boolq,val,0.5667,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,sciq,test,0.3600,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,arc_challenge,test,0.2400,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,boolq,test,0.5400,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,sciq,val,0.3333,0.2000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,arc_challenge,val,0.2667,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,boolq,val,0.5667,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,sciq,test,0.3600,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,arc_challenge,test,0.1800,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
exp012,3,42,epoch3_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,boolq,test,0.5200,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,2,0.0005
